time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1714533603647,download,100000,56.20021204768372,12157536.706094217,66.000212,71.999788,100300,
1714533606549,download,100000,29.000191,2135745.5202841773,375.7001910476837,74.999809,100300,33.09995414305115
1714533607818,download,100000,35.100169904632565,674512.3448194586,1189.6001699046326,77.99983,100300,419.9000358569489 43.10000614305115
1714533609406,download,100000,263.10013890463256,529741.8145289021,1514.7001388092651,70.999861,100300,36.39997485694885 35.29997495231628 46.19998504768372
1714533611012,download,100000,89.80021195231629,523793.90880980383,1531.9002120953674,71.999788,100300,32.000099 37.999861 30.200006047683715
1714533612584,download,100000,274.4000758569489,538451.1871238991,1490.2000760476838,79.999924,100300,51.500057 96.999975 27.90009885694885
1714533613768,download,100000,34.100170143051145,727009.0390267253,1103.7001700476837,77.99983,100300,31.300171952316283 30.300098952316283
1714533615265,download,100000,201.70002480926513,565628.0740964618,1418.6000249046326,75.999975,100300,304.10012014305113 311.00005699999997 34.20019304768372
1714533616833,download,100000,262.7999731907349,537261.4760669969,1493.499973,72.000027,100300,36.700140809265136 52.000151 36.80009695231628
1714533618395,download,100000,260.2002330476837,538198.3195900338,1490.9002328569488,68.999767,100300,31.299808952316283 31.299923952316284 31.300005952316283
1714533633014,download,1000000,256.00007600000004,550712.2674382952,14531.000076,79.999924,1000300,41.900229095367436 31.30001495231629 69.69995404768372 298.60009890463255 34.09973690463257 35.700099047683715 31.999903000000003 34.79997495231628 52.59990990463257 30.299995952316287 36.60009890463257 32.500151 34.60009014305115 38.30013895231629 32.500223 43.80014095231628 37.500235 29.900090095367432 27.799771190734873 41.499975 40.900027095367435 40.800120190734866 29.90009909536743 43.500223 37.80006919073487 46.000057 48.900161856948856 43.79988219073486 49.90000609536743
1714533647381,download,1000000,159.69988204768373,564069.6745946209,14186.899882095368,176.000118,1000300,40.400149095367425 43.80004819073486 36.40004809536743 48.10001490463257 46.40029585694885 26.800285952316287 43.80007595231629 33.900192856948856 34.60014114305115 41.10021414305115 31.300218952316285 41.500048 37.699975047683715 34.40014109536743 28.500069000000003 42.19998504768372 33.900275095367434 33.30014119073486 46.60002714305115 1200.7002140476836 405.5998819046326 33.799942952316286 42.500048
1714533662085,download,1000000,251.90007585694886,547359.7782763788,14620.000076,79.999924,1000300,1198.2000990476838 55.700140809265136 37.59995390463257 51.10000614305115 42.79990295231629 34.09990314305115 33.60015090463257 42.10022290463257 44.19999380926514 39.59985090463257 32.40005709536743 37.29999595231629 28.70006904768372 84.30022319073487 48.60028614305115 38.20028604768372 33.000162 37.80013019073486 33.59994314305115 38.60016190463257 45.699924047683716 40.29999595231629 31.50013 37.900120095367434 30.600005904632567 29.400078095367434 38.10027514305115 48.10006914305115 34.70009704768371
1714533676543,download,1000000,264.7000040476837,556708.0592558467,14374.500004,78.999996,1000300,35.90025409536743 42.800306952316284 42.30001495231629 45.80001495231629 34.200265047683715 43.800047952316284 39.60017214305115 46.500027 47.40000585694885 922.0999751430511 391.500021 51.899903095367435 41.90013009536743 46.80009895231628 33.799954190734866 31.100048143051147 46.10000614305115 48.10014114305115 315.70018280926513 32.80008795231629 36.80002695231629 592.7001618092652
1714533691063,download,1000000,109.29993095231629,554236.5629836118,14438.599930904633,78.000069,1000300,932.2000990476837 39.59988214305115 29.199838047683713 46.000181 54.30000619073486 35.10016014305114 50.699975047683715 48.199927809265134 39.000099 47.499954 38.90008609536743 990.00012 41.19982980926514 45.19998504768372 38.40003609536743 38.79990295231629 32.40014109536743 1213.600120143051 50.700099047683715 34.30001519073487 39.10004790463257 51.500067 37.80004595231628 45.20012004768372 54.900077856948855
1714533705846,download,1000000,258.3998680953674,544658.8444372957,14692.499868,87.000132,1000300,28.499903000000003 323.000048 30.900162095367435 27.699809047683715 37.79987195231629 54.799911952316286 36.799993952316285 49.69999604768372 47.40001685694885 621.7998719523163 38.699975047683715 615.000048 33.20020204768372 65.90015109536743 34.39996409536743 36.500069 40.000111 42.90011809536743 42.000057 36.30005695231628 39.19999604768372 88.10002690463257 52.099964143051146 104.2999849523163 58.700006047683715 43.29995395231629
1714533720328,download,1000000,97.80004595231628,555533.1848463019,14404.900046095367,72.999954,1000300,49.499882 40.10000590463257 45.69995404768372 56.000078 44.100130143051146 46.10009890463257 32.900108856948854 38.70022080926513 92.70012004768373 580.7000040476837 48.199851047683715 324.09992414305117 314.000223 33.60014090463257 579.1999540476837 48.50009 105.69995404768372 34.69977880926513 300.3000759523163 44.400026856948855
1714533735012,download,1000000,266.500128,548271.0613259495,14595.700128047683,83.999872,1000300,2207.800141190735 30.19993104768372 35.20015104768372 35.900119856948855 41.700130047683714 53.500057 30.800035952316286 44.59996590463254 899.000088 3691.200098809265 38.900150856948855 36.500069 43.50012 44.70021180926514 49.10015090463257 30.800235190734867 33.900150856948855 39.20016204768372 35.800117952316285 87.89997509536744
1714533735342,upload,100000,42.89996785694888,2602784.0737207225,308.89999985694885,266.000032,375,129.8001299523163
1714533736691,upload,100000,32.30011995231621,603015.0753984504,1333.2999999523163,1300.99988,374,40.20003604768372 57.60006914305115
1714533738170,upload,100000,50.89982109536754,549593.2735987331,1462.9000000953674,1412.000179,375,35.900160095367426 38.90026509536743 82.89988209536743
1714533739561,upload,100000,39.80012795231619,585238.0259338376,1373.7999999523163,1333.999872,375,32.70019304768372 44.80006895231629 78.40000609536743
1714533741127,upload,100000,38.09998890463248,518341.82196469133,1551.0999999046326,1513.000011,376,54.80000595231628 50.70010904768372 43.700099047683715
